Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"GM","Manure Management","2","Afghanistan","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","2530673"
"GM","Manure Management","2","Afghanistan","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","502952.2787"
"GM","Manure Management","2","Afghanistan","72246","Implied emission factor for CH4 (Manure management)","1053","Chickens, broilers","2016","2016","kg CH4/head","0.01"
"GM","Manure Management","2","Afghanistan","72296","Implied emission factor for N2O (Manure management)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.005"
"GM","Manure Management","2","Afghanistan","72256","Emissions (CH4) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0253"
"GM","Manure Management","2","Afghanistan","72446","Emissions (CO2eq) from CH4 (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.5314"
"GM","Manure Management","2","Afghanistan","72346","Direct emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0039"
"GM","Manure Management","2","Afghanistan","72366","Indirect emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0001"
"GM","Manure Management","2","Afghanistan","72306","Emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0039"
"GM","Manure Management","2","Afghanistan","72356","Direct emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","1.2028"
"GM","Manure Management","2","Afghanistan","72376","Indirect emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0178"
"GM","Manure Management","2","Afghanistan","72436","Emissions (CO2eq) from N2O (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","1.2206"
"GM","Manure Management","2","Afghanistan","72316","Emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","1.752"
"GM","Manure Management","3","Albania","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","2844000"
"GM","Manure Management","3","Albania","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","1007125.812"
"GM","Manure Management","3","Albania","72246","Implied emission factor for CH4 (Manure management)","1053","Chickens, broilers","2016","2016","kg CH4/head","0.02"
"GM","Manure Management","3","Albania","72296","Implied emission factor for N2O (Manure management)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.0051"
"GM","Manure Management","3","Albania","72256","Emissions (CH4) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0569"
"GM","Manure Management","3","Albania","72446","Emissions (CO2eq) from CH4 (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","1.1945"
"GM","Manure Management","3","Albania","72346","Direct emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.008"
"GM","Manure Management","3","Albania","72366","Indirect emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","3","Albania","72306","Emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0081"
"GM","Manure Management","3","Albania","72356","Direct emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","2.4906"
"GM","Manure Management","3","Albania","72376","Indirect emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.01"
"GM","Manure Management","3","Albania","72436","Emissions (CO2eq) from N2O (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","2.5006"
"GM","Manure Management","3","Albania","72316","Emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","3.6951"
"GM","Manure Management","4","Algeria","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","110630486"
"GM","Manure Management","4","Algeria","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","7595501.9621"
"GM","Manure Management","4","Algeria","72246","Implied emission factor for CH4 (Manure management)","1053","Chickens, broilers","2016","2016","kg CH4/head","0.02"
"GM","Manure Management","4","Algeria","72296","Implied emission factor for N2O (Manure management)","1053","Chickens, broilers","2016","2016","kg N2O-N/kg N","0.005"
"GM","Manure Management","4","Algeria","72256","Emissions (CH4) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","2.2126"
"GM","Manure Management","4","Algeria","72446","Emissions (CO2eq) from CH4 (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","46.4648"
"GM","Manure Management","4","Algeria","72346","Direct emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0597"
"GM","Manure Management","4","Algeria","72366","Indirect emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","4","Algeria","72306","Emissions (N2O) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0.0597"
"GM","Manure Management","4","Algeria","72356","Direct emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","18.5005"
"GM","Manure Management","4","Algeria","72376","Indirect emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","0"
"GM","Manure Management","4","Algeria","72436","Emissions (CO2eq) from N2O (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","18.5005"
"GM","Manure Management","4","Algeria","72316","Emissions (CO2eq) (Manure management)","1053","Chickens, broilers","2016","2016","gigagrams","64.9653"
"GM","Manure Management","5","American Samoa","5111","Stocks","1053","Chickens, broilers","2016","2016","Head","31739"
"GM","Manure Management","5","American Samoa","72386","Manure treated (N content)","1053","Chickens, broilers","2016","2016","kg","11124.821"
"GM","Manure Management","5","American Samoa","72246","Implied emission factor for CH4 (Manure management)","1053","Chickens, broilers","2016","2016","kg CH4/head","0.02"
